SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,0,50,0.0,-54.903800000000004,11.41372819843521,152.46,68.68

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,152.0,53.0,-65.13,FAILED,1
3136625912,151.0,55.0,-63.58,FAILED,2
3929915461,151.0,88.0,-41.72,FAILED,3
1202416571,155.0,57.0,-63.23,FAILED,4
2364296927,151.0,64.0,-57.62,FAILED,5
4048914527,155.0,69.0,-55.48,FAILED,6
245611477,155.0,55.0,-64.52,FAILED,7
889747142,151.0,59.0,-60.93,FAILED,8
895825300,151.0,78.0,-48.34,FAILED,9
1537731292,155.0,56.0,-63.87,FAILED,10
3805256479,151.0,59.0,-60.93,FAILED,11
3417776730,151.0,58.0,-61.59,FAILED,12
3455291829,151.0,74.0,-50.99,FAILED,13
3966897901,151.0,56.0,-62.91,FAILED,14
385689091,152.0,53.0,-65.13,FAILED,15
2928191392,152.0,71.0,-53.29,FAILED,16
2769896855,152.0,53.0,-65.13,FAILED,17
350716878,152.0,66.0,-56.58,FAILED,18
2922301505,151.0,55.0,-63.58,FAILED,19
1417047792,151.0,74.0,-50.99,FAILED,20
3575888941,151.0,48.0,-68.21,FAILED,21
3584571707,152.0,96.0,-36.84,FAILED,22
387571930,155.0,55.0,-64.52,FAILED,23
2400127562,155.0,51.0,-67.1,FAILED,24
1962563501,152.0,53.0,-65.13,FAILED,25
2311149461,155.0,56.0,-63.87,FAILED,26
1217076006,155.0,55.0,-64.52,FAILED,27
833115634,151.0,64.0,-57.62,FAILED,28
685136543,151.0,78.0,-48.34,FAILED,29
458209100,151.0,88.0,-41.72,FAILED,30
3587010598,155.0,57.0,-63.23,FAILED,31
2207326226,152.0,108.0,-28.95,FAILED,32
2018560162,152.0,108.0,-28.95,FAILED,33
1180350208,152.0,96.0,-36.84,FAILED,34
343332238,151.0,56.0,-62.91,FAILED,35
2756812092,151.0,74.0,-50.99,FAILED,36
4102742164,155.0,57.0,-63.23,FAILED,37
1440055438,151.0,88.0,-41.72,FAILED,38
4064325021,155.0,69.0,-55.48,FAILED,39
1040026147,152.0,108.0,-28.95,FAILED,40
1290827593,151.0,95.0,-37.09,FAILED,41
2221090888,152.0,66.0,-56.58,FAILED,42
3621737956,155.0,69.0,-55.48,FAILED,43
3267534106,151.0,58.0,-61.59,FAILED,44
2950706546,155.0,55.0,-64.52,FAILED,45
2124413061,151.0,88.0,-41.72,FAILED,46
957283921,155.0,56.0,-63.87,FAILED,47
3405922055,152.0,98.0,-35.53,FAILED,48
1945397770,151.0,78.0,-48.34,FAILED,49
1750365479,155.0,53.0,-65.81,FAILED,50
